Systematic Experiment Results - 2026-05-13 23:21:46.027465
================================================================================
[2026-05-14 01:01:55] RunID: 4, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 84/2000, Time: 154.44s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7642, Precision: 0.7434, Recall: 0.8202, F1-Score: 0.7800, AUC-ROC: 0.7961
[2026-05-14 01:03:31] RunID: 5, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 44/2000, Time: 84.13s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6505, Precision: 0.6067, Recall: 0.8926, F1-Score: 0.7224, AUC-ROC: 0.7160
[2026-05-14 01:06:00] RunID: 1, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 71/2000, Time: 137.92s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7379, Precision: 0.7180, Recall: 0.7996, F1-Score: 0.7566, AUC-ROC: 0.8308
[2026-05-14 01:09:29] RunID: 2, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 119/2000, Time: 197.26s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7716, Precision: 0.7572, Recall: 0.8120, F1-Score: 0.7836, AUC-ROC: 0.8376
[2026-05-14 01:11:06] RunID: 3, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 42/2000, Time: 86.23s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7653, Precision: 0.7335, Recall: 0.8471, F1-Score: 0.7862, AUC-ROC: 0.8474
[2026-05-14 01:16:50] RunID: 4, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 186/2000, Time: 333.14s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6905, Precision: 0.6703, Recall: 0.7727, F1-Score: 0.7179, AUC-ROC: 0.7935
[2026-05-14 01:18:12] RunID: 5, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 33/2000, Time: 72.02s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6989, Precision: 0.6514, Recall: 0.8802, F1-Score: 0.7487, AUC-ROC: 0.8187
[2026-05-14 01:29:41] RunID: 1, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 119/2000, Time: 676.18s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7389, Precision: 0.7107, Recall: 0.8223, F1-Score: 0.7625, AUC-ROC: 0.7919
[2026-05-14 01:38:16] RunID: 2, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 91/2000, Time: 504.04s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7442, Precision: 0.8066, Recall: 0.6550, F1-Score: 0.7229, AUC-ROC: 0.8451
[2026-05-14 01:45:23] RunID: 3, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 70/2000, Time: 416.13s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7537, Precision: 0.7615, Recall: 0.7521, F1-Score: 0.7568, AUC-ROC: 0.8381
[2026-05-14 01:53:46] RunID: 4, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 95/2000, Time: 491.31s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6958, Precision: 0.6836, Recall: 0.7500, F1-Score: 0.7153, AUC-ROC: 0.8022
[2026-05-14 01:57:25] RunID: 5, Mode: ST(all-MiniLM-L6-v2)+RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 34/2000, Time: 208.25s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7211, Precision: 0.7889, Recall: 0.6178, F1-Score: 0.6929, AUC-ROC: 0.8520
[2026-05-14 01:58:49] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 35/2000, Time: 72.44s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6628, Precision: 0.5556, Recall: 0.3509, F1-Score: 0.4301, AUC-ROC: 0.7018
[2026-05-14 02:02:11] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 105/2000, Time: 190.38s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7232, Precision: 0.6209, Recall: 0.6082, F1-Score: 0.6145, AUC-ROC: 0.7305
[2026-05-14 02:06:38] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 136/2000, Time: 257.64s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7169, Precision: 0.6325, Recall: 0.5234, F1-Score: 0.5728, AUC-ROC: 0.7223
[2026-05-14 02:13:27] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 241/2000, Time: 398.23s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7338, Precision: 0.7333, Recall: 0.4181, F1-Score: 0.5326, AUC-ROC: 0.7420
[2026-05-14 02:15:32] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 62/2000, Time: 114.40s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6691, Precision: 0.5573, Recall: 0.4269, F1-Score: 0.4834, AUC-ROC: 0.6349
[2026-05-14 02:19:07] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 33/2000, Time: 204.16s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6151, Precision: 0.3735, Recall: 0.0906, F1-Score: 0.1459, AUC-ROC: 0.5755
